Cross_val1, PCA_comp:200MLP layers: 900,300,300Cross_val1, PCA_comp:200MLP layers: 900,300,300Cross_val1, PCA_comp:200MLP layers: 900,300,300             precision    recall  f1-score   support
    class14       0.13      0.15      0.14        27
    class15       0.73      0.92      0.81        26
    class16       0.36      0.26      0.31        34
    class17       0.67      0.58      0.62        48
    class18       0.25      0.21      0.23        38
    class19       0.25      0.27      0.26        48
    class20       0.21      0.14      0.17        22
    class21       0.35      0.36      0.35        47
    class22       0.14      0.16      0.15        43
    class23       0.53      0.43      0.48        44
    class24       0.32      0.35      0.34        48
    class25       0.42      0.37      0.39        35
    class26       0.17      0.13      0.15        15
    class27       0.32      0.26      0.29        34
    class28       0.42      0.43      0.42        35
    class29       0.54      0.39      0.45        18

avg / total       0.37      0.37      0.37       951
Cross_val3, PCA_comp:400MLP layers: 900,300,300             precision    recall  f1-score   support

     class1       0.57      0.68      0.62        40
     class2       0.30      0.26      0.28        31
     class3       0.40      0.30      0.34        40
     class4       0.75      0.20      0.32        15
     class5       0.17      0.17      0.17        30
     class6       0.59      0.85      0.70        47
     class7       0.05      0.04      0.04        25
     class8       0.62      0.67      0.64        24
     class9       0.08      0.07      0.08        28
    class10       0.30      0.34      0.32        38
    class11       0.28      0.39      0.33        33
    class12       0.05      0.04      0.05        25
    class13       0.25      0.15      0.19        13
    class14       0.15      0.15      0.15        27
    class15       0.70      0.81      0.75        26
    class16       0.32      0.21      0.25        34
    class17       0.55      0.56      0.56        48
    class18       0.24      0.24      0.24        38
    class19       0.14      0.17      0.15        48
    class20       0.30      0.14      0.19        22
    class21       0.25      0.32      0.28        47
    class22       0.15      0.14      0.14        43
    class23       0.47      0.43      0.45        44
    class24       0.28      0.31      0.30        48
    class25       0.24      0.23      0.24        35
    class26       0.40      0.13      0.20        15
    class27       0.30      0.29      0.30        34
    class28       0.38      0.51      0.43        35
    class29       0.54      0.39      0.45        18

avg / total       0.33      0.34      0.33       951
Cross_val4, PCA_comp:200MLP layers: 900,300,300             precision    recall  f1-score   support

     class1       0.51      0.53      0.52        40
     class2       0.19      0.23      0.21        31
     class3       0.31      0.30      0.30        40
     class4       0.50      0.40      0.44        15
     class5       0.41      0.40      0.41        30
     class6       0.60      0.70      0.65        47
     class7       0.23      0.28      0.25        25
     class8       0.56      0.58      0.57        24
     class9       0.19      0.21      0.20        28
    class10       0.32      0.32      0.32        38
    class11       0.24      0.27      0.26        33
    class12       0.27      0.16      0.20        25
    class13       0.11      0.08      0.09        13
    class14       0.21      0.19      0.20        27
    class15       0.59      0.62      0.60        26
    class16       0.38      0.29      0.33        34
    class17       0.58      0.62      0.60        48
    class18       0.17      0.21      0.19        38
    class19       0.38      0.33      0.36        48
    class20       0.24      0.18      0.21        22
    class21       0.30      0.38      0.34        47
    class22       0.38      0.33      0.35        43
    class23       0.38      0.36      0.37        44
    class24       0.23      0.19      0.21        48
    class25       0.20      0.23      0.21        35
    class26       0.57      0.53      0.55        15
    class27       0.44      0.50      0.47        34
    class28       0.50      0.43      0.46        35
    class29       0.16      0.17      0.16        18

avg / total       0.36      0.36      0.36       951
Cross_val4, PCA_comp:300MLP layers: 900,300,300             precision    recall  f1-score   support

     class1       0.52      0.55      0.54        40
     class2       0.17      0.23      0.20        31
     class3       0.35      0.30      0.32        40
     class4       0.50      0.27      0.35        15
     class5       0.32      0.33      0.33        30
     class6       0.51      0.68      0.58        47
     class7       0.21      0.32      0.25        25
     class8       0.48      0.54      0.51        24
     class9       0.13      0.14      0.14        28
    class10       0.39      0.37      0.38        38
    class11       0.21      0.21      0.21        33
    class12       0.21      0.12      0.15        25
    class13       0.08      0.08      0.08        13
    class14       0.19      0.19      0.19        27
    class15       0.63      0.65      0.64        26
    class16       0.38      0.32      0.35        34
    class17       0.65      0.67      0.66        48
    class18       0.21      0.24      0.22        38
    class19       0.35      0.38      0.36        48
    class20       0.17      0.14      0.15        22
    class21       0.33      0.40      0.37        47
    class22       0.26      0.30      0.28        43
    class23       0.38      0.32      0.35        44
    class24       0.21      0.15      0.17        48
    class25       0.32      0.29      0.30        35
    class26       0.50      0.47      0.48        15
    class27       0.42      0.41      0.42        34
    class28       0.42      0.40      0.41        35
    class29       0.10      0.06      0.07        18

avg / total       0.34      0.35      0.34       951
Cross_val4, PCA_comp:400MLP layers: 900,300,300             precision    recall  f1-score   support

     class1       0.50      0.47      0.49        40
     class2       0.19      0.23      0.21        31
     class3       0.40      0.35      0.37        40
     class4       0.38      0.20      0.26        15
     class5       0.32      0.33      0.33        30
     class6       0.52      0.72      0.61        47
     class7       0.23      0.20      0.21        25
     class8       0.48      0.54      0.51        24
     class9       0.22      0.18      0.20        28
    class10       0.42      0.39      0.41        38
    class11       0.23      0.21      0.22        33
    class12       0.06      0.04      0.05        25
    class13       0.23      0.23      0.23        13
    class14       0.09      0.07      0.08        27
    class15       0.72      0.69      0.71        26
    class16       0.35      0.32      0.34        34
    class17       0.52      0.60      0.56        48
    class18       0.16      0.16      0.16        38
    class19       0.40      0.40      0.40        48
    class20       0.19      0.18      0.19        22
    class21       0.32      0.38      0.35        47
    class22       0.33      0.35      0.34        43
    class23       0.47      0.45      0.46        44
    class24       0.23      0.21      0.22        48
    class25       0.28      0.31      0.30        35
    class26       0.47      0.53      0.50        15
    class27       0.37      0.38      0.38        34
    class28       0.43      0.34      0.38        35
    class29       0.18      0.22      0.20        18

avg / total       0.35      0.35      0.35       951
Cross_val5, PCA_comp:200MLP layers: 900,300,300             precision    recall  f1-score   support

     class1       0.60      0.62      0.61        40
     class2       0.24      0.23      0.23        31
     class3       0.32      0.35      0.33        40
     class4       0.33      0.40      0.36        15
     class5       0.30      0.27      0.28        30
     class6       0.55      0.68      0.61        47
     class7       0.25      0.20      0.22        25
     class8       0.45      0.58      0.51        24
     class9       0.26      0.32      0.29        28
    class10       0.37      0.37      0.37        38
    class11       0.19      0.15      0.17        33
    class12       0.04      0.04      0.04        25
    class13       0.25      0.08      0.12        13
    class14       0.15      0.11      0.13        27
    class15       0.62      0.88      0.73        26
    class16       0.44      0.35      0.39        34
    class17       0.60      0.75      0.67        48
    class18       0.15      0.18      0.16        38
    class19       0.35      0.38      0.36        48
    class20       0.24      0.18      0.21        22
    class21       0.31      0.36      0.34        47
    class22       0.13      0.14      0.14        43
    class23       0.41      0.27      0.33        44
    class24       0.25      0.27      0.26        48
    class25       0.21      0.17      0.19        35
    class26       0.18      0.13      0.15        15
    class27       0.30      0.26      0.28        34
    class28       0.42      0.46      0.44        35
    class29       0.44      0.22      0.30        18

avg / total       0.33      0.35      0.34       951
Cross_val5, PCA_comp:300MLP layers: 900,300,300             precision    recall  f1-score   support

     class1       0.51      0.55      0.53        40
     class2       0.20      0.26      0.23        31
     class3       0.29      0.25      0.27        40
     class4       0.55      0.40      0.46        15
     class5       0.31      0.33      0.32        30
     class6       0.51      0.68      0.58        47
     class7       0.17      0.12      0.14        25
     class8       0.50      0.62      0.56        24
     class9       0.31      0.36      0.33        28
    class10       0.29      0.32      0.30        38
    class11       0.19      0.15      0.17        33
    class12       0.22      0.16      0.19        25
    class13       0.40      0.15      0.22        13
    class14       0.25      0.19      0.21        27
    class15       0.61      0.88      0.72        26
    class16       0.43      0.38      0.41        34
    class17       0.58      0.73      0.65        48
    class18       0.18      0.24      0.21        38
    class19       0.26      0.27      0.27        48
    class20       0.27      0.14      0.18        22
    class21       0.37      0.28      0.32        47
    class22       0.14      0.19      0.16        43
    class23       0.37      0.30      0.33        44
    class24       0.22      0.23      0.23        48
    class25       0.42      0.37      0.39        35
    class26       0.21      0.20      0.21        15
    class27       0.29      0.24      0.26        34
    class28       0.38      0.43      0.41        35
    class29       0.45      0.28      0.34        18

avg / total       0.34      0.35      0.34       951
Cross_val5, PCA_comp:400MLP layers: 900,300,300             precision    recall  f1-score   support

     class1       0.54      0.50      0.52        40
     class2       0.30      0.32      0.31        31
     class3       0.30      0.25      0.27        40
     class4       0.38      0.33      0.36        15
     class5       0.41      0.30      0.35        30
     class6       0.53      0.70      0.61        47
     class7       0.17      0.16      0.16        25
     class8       0.46      0.54      0.50        24
     class9       0.23      0.29      0.25        28
    class10       0.40      0.42      0.41        38
    class11       0.24      0.21      0.23        33
    class12       0.14      0.12      0.13        25
    class13       0.50      0.23      0.32        13
    class14       0.14      0.11      0.12        27
    class15       0.62      0.88      0.73        26
    class16       0.50      0.44      0.47        34
    class17       0.52      0.69      0.59        48
    class18       0.19      0.24      0.21        38
    class19       0.36      0.33      0.34        48
    class20       0.31      0.18      0.23        22
    class21       0.35      0.36      0.35        47
    class22       0.12      0.16      0.14        43
    class23       0.44      0.32      0.37        44
    class24       0.21      0.19      0.20        48
    class25       0.38      0.34      0.36        35
    class26       0.33      0.20      0.25        15
    class27       0.30      0.29      0.30        34
    class28       0.47      0.54      0.51        35
    class29       0.31      0.22      0.26        18

avg / total       0.35      0.36      0.35       951
Cross_val1, PCA_comp:100MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.62      0.60      0.61        40
     class2       0.38      0.35      0.37        31
     class3       0.36      0.33      0.34        40
     class4       0.67      0.27      0.38        15
     class5       0.34      0.33      0.34        30
     class6       0.68      0.81      0.74        47
     class7       0.11      0.12      0.11        25
     class8       0.54      0.62      0.58        24
     class9       0.26      0.29      0.27        28
    class10       0.39      0.39      0.39        38
    class11       0.30      0.24      0.27        33
    class12       0.25      0.20      0.22        25
    class13       0.33      0.23      0.27        13
    class14       0.18      0.26      0.22        27
    class15       0.71      0.77      0.74        26
    class16       0.43      0.38      0.41        34
    class17       0.66      0.79      0.72        48
    class18       0.19      0.16      0.17        38
    class19       0.22      0.21      0.22        48
    class20       0.17      0.18      0.18        22
    class21       0.28      0.34      0.30        47
    class22       0.15      0.16      0.15        43
    class23       0.52      0.32      0.39        44
    class24       0.38      0.40      0.39        48
    class25       0.40      0.46      0.43        35
    class26       0.53      0.60      0.56        15
    class27       0.40      0.41      0.41        34
    class28       0.41      0.37      0.39        35
    class29       0.43      0.33      0.38        18

avg / total       0.39      0.39      0.38       951
Cross_val1, PCA_comp:200MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.56      0.55      0.56        40
     class2       0.24      0.32      0.28        31
     class3       0.32      0.28      0.30        40
     class4       0.38      0.33      0.36        15
     class5       0.48      0.43      0.46        30
     class6       0.68      0.81      0.74        47
     class7       0.17      0.16      0.17        25
     class8       0.54      0.62      0.58        24
     class9       0.13      0.11      0.12        28
    class10       0.46      0.50      0.48        38
    class11       0.22      0.15      0.18        33
    class12       0.16      0.20      0.18        25
    class13       0.50      0.15      0.24        13
    class14       0.22      0.30      0.25        27
    class15       0.87      0.77      0.82        26
    class16       0.39      0.38      0.39        34
    class17       0.56      0.65      0.60        48
    class18       0.16      0.18      0.17        38
    class19       0.28      0.29      0.29        48
    class20       0.17      0.18      0.18        22
    class21       0.36      0.38      0.37        47
    class22       0.16      0.12      0.13        43
    class23       0.45      0.39      0.41        44
    class24       0.41      0.40      0.40        48
    class25       0.55      0.49      0.52        35
    class26       0.44      0.47      0.45        15
    class27       0.32      0.29      0.31        34
    class28       0.42      0.54      0.48        35
    class29       0.27      0.22      0.24        18

avg / total       0.38      0.38      0.38       951
Cross_val1, PCA_comp:400MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.62      0.57      0.60        40
     class2       0.26      0.29      0.27        31
     class3       0.33      0.30      0.32        40
     class4       0.44      0.53      0.48        15
     class5       0.46      0.40      0.43        30
     class6       0.58      0.68      0.63        47
     class7       0.16      0.16      0.16        25
     class8       0.44      0.50      0.47        24
     class9       0.17      0.18      0.17        28
    class10       0.41      0.50      0.45        38
    class11       0.24      0.21      0.23        33
    class12       0.08      0.08      0.08        25
    class13       0.12      0.08      0.10        13
    class14       0.13      0.15      0.14        27
    class15       0.76      0.85      0.80        26
    class16       0.37      0.44      0.40        34
    class17       0.57      0.65      0.61        48
    class18       0.17      0.16      0.16        38
    class19       0.32      0.35      0.34        48
    class20       0.26      0.23      0.24        22
    class21       0.36      0.38      0.37        47
    class22       0.22      0.19      0.20        43
    class23       0.39      0.30      0.34        44
    class24       0.30      0.25      0.27        48
    class25       0.33      0.46      0.39        35
    class26       0.32      0.40      0.35        15
    class27       0.26      0.21      0.23        34
    class28       0.61      0.49      0.54        35
    class29       0.45      0.28      0.34        18

avg / total       0.36      0.37      0.36       951
Cross_val1, PCA_comp:800MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.52      0.62      0.57        40
     class2       0.16      0.13      0.14        31
     class3       0.26      0.28      0.27        40
     class4       0.37      0.47      0.41        15
     class5       0.46      0.37      0.41        30
     class6       0.69      0.74      0.71        47
     class7       0.13      0.12      0.12        25
     class8       0.45      0.58      0.51        24
     class9       0.11      0.14      0.13        28
    class10       0.38      0.39      0.38        38
    class11       0.29      0.27      0.28        33
    class12       0.25      0.20      0.22        25
    class13       0.10      0.08      0.09        13
    class14       0.16      0.15      0.15        27
    class15       0.78      0.81      0.79        26
    class16       0.27      0.29      0.28        34
    class17       0.48      0.52      0.50        48
    class18       0.12      0.16      0.14        38
    class19       0.29      0.38      0.33        48
    class20       0.20      0.18      0.19        22
    class21       0.39      0.38      0.39        47
    class22       0.27      0.21      0.24        43
    class23       0.33      0.23      0.27        44
    class24       0.23      0.25      0.24        48
    class25       0.28      0.29      0.28        35
    class26       0.50      0.53      0.52        15
    class27       0.28      0.21      0.24        34
    class28       0.44      0.43      0.43        35
    class29       0.25      0.11      0.15        18

avg / total       0.34      0.34      0.33       951
Cross_val1, PCA_comp:1400MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.40      0.45      0.42        40
     class2       0.09      0.10      0.10        31
     class3       0.38      0.25      0.30        40
     class4       0.32      0.40      0.35        15
     class5       0.27      0.23      0.25        30
     class6       0.66      0.81      0.72        47
     class7       0.13      0.16      0.14        25
     class8       0.37      0.42      0.39        24
     class9       0.04      0.04      0.04        28
    class10       0.39      0.42      0.41        38
    class11       0.19      0.15      0.17        33
    class12       0.09      0.08      0.09        25
    class13       0.12      0.08      0.10        13
    class14       0.12      0.11      0.11        27
    class15       0.79      0.73      0.76        26
    class16       0.37      0.32      0.34        34
    class17       0.45      0.52      0.49        48
    class18       0.05      0.05      0.05        38
    class19       0.22      0.23      0.22        48
    class20       0.28      0.23      0.25        22
    class21       0.36      0.43      0.39        47
    class22       0.24      0.23      0.24        43
    class23       0.28      0.25      0.26        44
    class24       0.31      0.33      0.32        48
    class25       0.38      0.43      0.40        35
    class26       0.35      0.40      0.38        15
    class27       0.19      0.15      0.17        34
    class28       0.45      0.49      0.47        35
    class29       0.30      0.17      0.21        18

avg / total       0.31      0.32      0.31       951
Cross_val2, PCA_comp:100MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.56      0.60      0.58        40
     class2       0.29      0.32      0.31        31
     class3       0.38      0.35      0.36        40
     class4       0.31      0.33      0.32        15
     class5       0.48      0.33      0.39        30
     class6       0.54      0.68      0.60        47
     class7       0.19      0.12      0.15        25
     class8       0.53      0.67      0.59        24
     class9       0.17      0.14      0.16        28
    class10       0.35      0.45      0.39        38
    class11       0.21      0.30      0.25        33
    class12       0.30      0.24      0.27        25
    class13       0.30      0.23      0.26        13
    class14       0.26      0.19      0.22        27
    class15       0.57      0.65      0.61        26
    class16       0.38      0.35      0.36        34
    class17       0.59      0.62      0.61        48
    class18       0.14      0.16      0.15        38
    class19       0.27      0.31      0.29        48
    class20       0.40      0.36      0.38        22
    class21       0.36      0.32      0.34        47
    class22       0.26      0.28      0.27        43
    class23       0.55      0.41      0.47        44
    class24       0.20      0.17      0.18        48
    class25       0.46      0.49      0.47        35
    class26       0.33      0.40      0.36        15
    class27       0.23      0.21      0.22        34
    class28       0.64      0.51      0.57        35
    class29       0.16      0.17      0.16        18

avg / total       0.37      0.37      0.37       951
Cross_val2, PCA_comp:200MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.57      0.53      0.55        40
     class2       0.26      0.29      0.27        31
     class3       0.44      0.38      0.41        40
     class4       0.35      0.40      0.38        15
     class5       0.48      0.37      0.42        30
     class6       0.62      0.74      0.68        47
     class7       0.25      0.24      0.24        25
     class8       0.44      0.50      0.47        24
     class9       0.18      0.25      0.21        28
    class10       0.33      0.45      0.38        38
    class11       0.27      0.27      0.27        33
    class12       0.15      0.16      0.15        25
    class13       0.50      0.08      0.13        13
    class14       0.32      0.26      0.29        27
    class15       0.59      0.62      0.60        26
    class16       0.38      0.38      0.38        34
    class17       0.57      0.54      0.55        48
    class18       0.24      0.24      0.24        38
    class19       0.19      0.23      0.21        48
    class20       0.23      0.23      0.23        22
    class21       0.34      0.34      0.34        47
    class22       0.32      0.28      0.30        43
    class23       0.55      0.48      0.51        44
    class24       0.26      0.19      0.22        48
    class25       0.44      0.49      0.46        35
    class26       0.22      0.33      0.26        15
    class27       0.21      0.18      0.19        34
    class28       0.53      0.57      0.55        35
    class29       0.27      0.22      0.24        18

avg / total       0.37      0.37      0.37       951
Cross_val2, PCA_comp:400MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.62      0.62      0.62        40
     class2       0.16      0.16      0.16        31
     class3       0.30      0.25      0.27        40
     class4       0.37      0.47      0.41        15
     class5       0.43      0.30      0.35        30
     class6       0.58      0.68      0.63        47
     class7       0.32      0.24      0.27        25
     class8       0.54      0.58      0.56        24
     class9       0.13      0.14      0.14        28
    class10       0.41      0.45      0.43        38
    class11       0.21      0.21      0.21        33
    class12       0.16      0.12      0.14        25
    class13       0.00      0.00      0.00        13
    class14       0.19      0.19      0.19        27
    class15       0.62      0.62      0.62        26
    class16       0.31      0.29      0.30        34
    class17       0.56      0.58      0.57        48
    class18       0.28      0.24      0.26        38
    class19       0.21      0.31      0.25        48
    class20       0.20      0.23      0.21        22
    class21       0.29      0.30      0.29        47
    class22       0.21      0.26      0.23        43
    class23       0.53      0.39      0.45        44
    class24       0.24      0.21      0.22        48
    class25       0.42      0.51      0.46        35
    class26       0.32      0.40      0.35        15
    class27       0.23      0.18      0.20        34
    class28       0.50      0.57      0.53        35
    class29       0.21      0.17      0.19        18

avg / total       0.35      0.35      0.34       951
Cross_val2, PCA_comp:800MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.45      0.47      0.46        40
     class2       0.17      0.19      0.18        31
     class3       0.36      0.33      0.34        40
     class4       0.33      0.33      0.33        15
     class5       0.38      0.37      0.37        30
     class6       0.59      0.68      0.63        47
     class7       0.20      0.20      0.20        25
     class8       0.54      0.54      0.54        24
     class9       0.09      0.07      0.08        28
    class10       0.34      0.39      0.37        38
    class11       0.13      0.12      0.12        33
    class12       0.24      0.20      0.22        25
    class13       0.33      0.15      0.21        13
    class14       0.21      0.22      0.21        27
    class15       0.58      0.58      0.58        26
    class16       0.36      0.26      0.31        34
    class17       0.46      0.48      0.47        48
    class18       0.17      0.18      0.17        38
    class19       0.20      0.29      0.24        48
    class20       0.32      0.32      0.32        22
